language;endonym;description;world_region;country;global_speakers;primary_location;add_neighborhoods;latitude;longitude;size;status;glottocode;lg_family;iso_639_3
Cypriot Turkish;Kıbrıs Türkçesi;New York's major Turkish-speaking concentrations are in and around Sheepshead Bay in Brooklyn, where the American Turkish Eyüp Sultan Cultural Center is a gathering place, and Sunnyside in Queens (home to the Turkish Cultural Center Queens), with a substantial community as well in Paterson, New Jersey (centered in part on the United Islamic Center). This includes speakers of a number of Oghuz varieties from west of the Caucasus, including Istanbul, Black Sea, Anatolian, and Bulgarian Turkish — as well as speakers of Cypriot Turkish, who have a community in the Bronx.;Southern Europe;Cyprus, Turkey;;Van Nest;;4.084.662.810;-7.386.115.844;Small;Residential;cypr1251;Turkic;
Kuna;Dulegaya;Antonio Miguel was a Kuna sailor from Kuna Yala, the San Blas archipelago off Panama, who came onshore one day at Brooklyn’s Erie Basin with a fellow Kuna sailor. They walked to a house on Degraw Street where the heard another Native family lived—Rappahannocks from Virginia—and where they hoped to find some hospitality while in port. Miguel fell in love with a daughter there and ended up staying for good, joining a small number of other Kunas at the time. The Kuna/Rappahannock Miguel sisters went on to play prominent roles among Native artists in the city.;Central America;Panama, Colombia;61000;Cobble Hill;;4.068.349.491;-7.399.344.891;Smallest;Residential;kuna1280;Chibchan;cuk
Tagalog;Tagalog;A substantial Filipino community, likely speaking other languages besides Tagalog, formed in and around the Brooklyn Navy Yard around 1900, in part because discharged Filipino sailors could become US citizens. Indeed, at this time the whole zone around the bustling Navy Yard was one of Brooklyn's most diverse, with small Chinese and Japanese communities and many southern and eastern Europeans, among others.;Southeastern Asia;Philippines;23808890;DUMBO;;4.069.961.289;-7.398.058.551;Medium;Historical;taga1270;Austronesian;tgl
Geg Albanian;Shqip (Gegë);Northern Geg varieties of Albanian are particularly common in the historically Italian Arthur Avenue and Pelham Parkway sections of the Bronx (where many Kosovar Albanians settled beginning in the 1960s and 70s);;;;;;;;;;;;
Memoni;ميموني, મેમોની;Memoni New Yorkers are part of a substantial diaspora with roots in Gujarat in India (known for long-distance trading), but which spread to Pakistan after Partition and subsequently around the world. One community member reports that most live in Queens and Long Island. Some may be Kutchi Memons and others Halai Memons, and today the younger generations are increasingly likely to speak Hindi, Urdu, Gujarati, English, or some combination.;Southern Asia;Pakistan, India;1800000;North New Hyde Park (NY);;4.073.930.222;-7.369.977.384;Small;Residential;memo1238;Indo-European;mby
Kodava;ಕೊಡವ ತಕ್ಕ್;A national Kodava Koota (or association) includes some who live in New Jersey and gather for the celebration of the annual harvest festival known as Puthari.;Southern Asia;India;114000;Edison (NJ);;4.051.619.700;-7.435.656.700;Small;Residential;koda1255;Dravidian;kfa
Sangtam;Sangtam;Today there may be a small number of speakers of at least 9 different distinct Naga languages — with some also speaking the lingua franca Nagamese — living in New Jersey, Manhattan, Brooklyn, and Long Island, according to Abraham Lotha, who is based in Edison and has been working on Lotha, his own mother tongue. The earliest known Naga to come to the United States was Eramo Shanjamo Jungi, who arrived in 1904 with a family of Baptist missionaries returning from Nagaland to their home in Trenton Junction. Shanjamo, who was Lotha, returned to Nagaland in 1908 and played an active role in the Baptist church in India until his death in 1956.;Southern Asia;India;76000;Edison (NJ);;4.050.176.040;-7.439.808.902;Smallest;Residential;sang1321;Sino-Tibetan;nsa
Ao;Ao;Today there may be a small number of speakers of at least 9 different distinct Naga languages — with some also speaking the lingua franca Nagamese — living in New Jersey, Manhattan, Brooklyn, and Long Island, according to Abraham Lotha, who is based in Edison and has been working on Lotha, his own mother tongue. The earliest known Naga to come to the United States was Eramo Shanjamo Jungi, who arrived in 1904 with a family of Baptist missionaries returning from Nagaland to their home in Trenton Junction. Shanjamo, who was Lotha, returned to Nagaland in 1908 and played an active role in the Baptist church in India until his death in 1956.;Southern Asia;India;;Edison (NJ);;4.051.767.823;-7.440.786.063;Smallest;Residential;aona1235;Sino-Tibetan;njo
Konyak;Konyak;Today there may be a small number of speakers of at least 9 different distinct Naga languages — with some also speaking the lingua franca Nagamese — living in New Jersey, Manhattan, Brooklyn, and Long Island, according to Abraham Lotha, who is based in Edison and has been working on Lotha, his own mother tongue. The earliest known Naga to come to the United States was Eramo Shanjamo Jungi, who arrived in 1904 with a family of Baptist missionaries returning from Nagaland to their home in Trenton Junction. Shanjamo, who was Lotha, returned to Nagaland in 1908 and played an active role in the Baptist church in India until his death in 1956.;Southern Asia;India;244477;DUMBO;;4.069.658.170;-7.398.331.121;Smallest;Residential;kony1248;Sino-Tibetan;nbe
Sema;Sümi;Today there may be a small number of speakers of at least 9 different distinct Naga languages — with some also speaking the lingua franca Nagamese — living in New Jersey, Manhattan, Brooklyn, and Long Island, according to Abraham Lotha, who is based in Edison and has been working on Lotha, his own mother tongue. The earliest known Naga to come to the United States was Eramo Shanjamo Jungi, who arrived in 1904 with a family of Baptist missionaries returning from Nagaland to their home in Trenton Junction. Shanjamo, who was Lotha, returned to Nagaland in 1908 and played an active role in the Baptist church in India until his death in 1956.;Southern Asia;India;350000;Flatbush;;4.063.372.132;-7.396.496.810;Smallest;Residential;sumi1235;Sino-Tibetan;nsm
Pochury;Pochury;Today there may be a small number of speakers of at least 9 different distinct Naga languages — with some also speaking the lingua franca Nagamese — living in New Jersey, Manhattan, Brooklyn, and Long Island, according to Abraham Lotha, who is based in Edison and has been working on Lotha, his own mother tongue. The earliest known Naga to come to the United States was Eramo Shanjamo Jungi, who arrived in 1904 with a family of Baptist missionaries returning from Nagaland to their home in Trenton Junction. Shanjamo, who was Lotha, returned to Nagaland in 1908 and played an active role in the Baptist church in India until his death in 1956.;Southern Asia;India;21654;Bridgewater (NJ);;4.059.299.394;-7.462.656.605;Smallest;Residential;poch1243;Sino-Tibetan;npo
Changki;Changki;Today there may be a small number of speakers of at least 9 different distinct Naga languages — with some also speaking the lingua franca Nagamese — living in New Jersey, Manhattan, Brooklyn, and Long Island, according to Abraham Lotha, who is based in Edison and has been working on Lotha, his own mother tongue. The earliest known Naga to come to the United States was Eramo Shanjamo Jungi, who arrived in 1904 with a family of Baptist missionaries returning from Nagaland to their home in Trenton Junction. Shanjamo, who was Lotha, returned to Nagaland in 1908 and played an active role in the Baptist church in India until his death in 1956.;Southern Asia;India;;East Village;;4.072.775.720;-7.398.210.737;Smallest;Residential;chan1311;Sino-Tibetan;
Tangkhul;Tangkhul;Today there may be a small number of speakers of at least 9 different distinct Naga languages — with some also speaking the lingua franca Nagamese — living in New Jersey, Manhattan, Brooklyn, and Long Island, according to Abraham Lotha, who is based in Edison and has been working on Lotha, his own mother tongue. The earliest known Naga to come to the United States was Eramo Shanjamo Jungi, who arrived in 1904 with a family of Baptist missionaries returning from Nagaland to their home in Trenton Junction. Shanjamo, who was Lotha, returned to Nagaland in 1908 and played an active role in the Baptist church in India until his death in 1956.;Southern Asia;India;67000;East Orange (NJ);;4.076.101.637;-7.421.047.832;Smallest;Residential;tang1336;Sino-Tibetan;nmf
Nagamese;Nagamese;Today there may be a small number of speakers of at least 9 different distinct Naga languages — with some also speaking the lingua franca Nagamese — living in New Jersey, Manhattan, Brooklyn, and Long Island, according to Abraham Lotha, who is based in Edison and has been working on Lotha, his own mother tongue. The earliest known Naga to come to the United States was Eramo Shanjamo Jungi, who arrived in 1904 with a family of Baptist missionaries returning from Nagaland to their home in Trenton Junction. Shanjamo, who was Lotha, returned to Nagaland in 1908 and played an active role in the Baptist church in India until his death in 1956.;Southern Asia;India;;Edison (NJ);;4.050.179.303;-7.439.550.337;Small;Residential;naga1394;Indo-European;nag
